time_ms,adc_output_mv,smoothed_mv,is_r_peak
213163,1838,1833.5,0
213181,1829,1830.667,0
213198,1825,1833.667,0
213215,1847,1854.667,0
213233,1892,1870.0,0
213251,1871,1867.0,0
213269,1838,1847.667,0
213287,1834,1834.667,0
213305,1832,1831.0,0
213322,1827,1828.333,0
213339,1826,1825.667,0
213356,1824,1824.0,0
213373,1822,1822.0,0
213390,1820,1820.333,0
213407,1819,1819.0,0
213424,1818,1818.667,0
213441,1819,1821.333,0
213458,1827,1824.333,0
213475,1827,1829.0,0
213492,1833,1832.667,0
213509,1838,1837.0,0
213527,1840,1838.667,0
213545,1838,1838.333,0
213563,1837,1837.667,0
213581,1838,1838.333,0
213599,1840,1839.0,0
213617,1839,1839.0,0
213635,1838,1839.0,0
213653,1840,1839.333,0
213671,1840,1839.667,0
213689,1839,1839.333,0
213707,1839,1838.667,0
213725,1838,1838.333,0
213743,1838,1838.667,0
213761,1840,1839.333,0
213779,1840,1839.333,0
213797,1838,1837.667,0
213815,1835,1836.667,0
213833,1837,1838.0,0
213851,1842,1840.333,0
213869,1842,1840.667,0
213887,1838,1838.333,0
213905,1835,1830.0,0
213923,1817,1822.333,0
213940,1815,1838.333,0
213957,1883,1861.333,0
213975,1886,1868.0,0
213993,1835,1852.667,0
214011,1837,1834.667,0
214029,1832,1832.667,0
214046,1829,1829.0,0
214063,1826,1827.333,0
214080,1827,1825.333,0
214097,1823,1823.667,0
214114,1821,1821.0,0
214131,1819,1819.333,0
214148,1818,1820.0,0
214165,1823,1821.667,0
214182,1824,1826.333,0
214199,1832,1830.333,0
214216,1835,1835.0,0
214234,1838,1838.0,0
214252,1841,1840.333,0
214270,1842,1841.0,0
214288,1840,1840.333,0
214306,1839,1839.667,0
214324,1840,1839.667,0
214342,1840,1840.0,0
214360,1840,1839.667,0
214378,1839,1838.667,0
214396,1837,1837.667,0
214414,1837,1837.667,0
214432,1839,1838.667,0
214450,1840,1839.333,0
214468,1839,1838.667,0
214486,1837,1838.0,0
214504,1838,1837.667,0
214522,1838,1838.0,0
214540,1838,1837.667,0
214558,1837,1836.333,0
214576,1834,1836.333,0
214594,1838,1837.667,0
214612,1841,1836.0,0
214630,1829,1831.667,0
214647,1825,1828.667,0
214664,1832,1843.0,0
214681,1872,1858.0,0
214699,1870,1859.667,0
214717,1837,1845.667,0
214735,1830,1832.667,0
214752,1831,1830.667,0
214769,1831,1830.0,0
