« 1371912,1843
1371944,1844
1371976,1847
1372008,1846
1372040,1844
1372072,1846
1372104,1844
1372136,1848
1372168,1849
1372200,1843
1372232,1812
1372263,1998
1372295,1843
1372327,1840
1372359,1837
1372391,1827
1372422,1818
1372453,1817
1372484,1823
1372515,1838
1372547,1840
1372579,1838
1372611,1840
1372643,1841
1372675,1841
1372707,1840
1372739,1840
1372771,1842
1372803,1843
1372835,1842
1372867,1839
1372899,1840
1372931,1838
1372963,1841
1372995,1836
1373027,1813
1373058,1923
1373090,1834
1373122,1828
1373153,1828
1373184,1817
1373215,1817
1373246,1817
1373277,1817
1373308,1826
1373339,1829
1373370,1834
1373402,1827
1373433,1825
1373464,1828
1373495,1829
1373526,1827
1373557,1828
1373588,1835
1373620,1835
1373652,1833
1373683,1838
1373715,1839
1373747,1839
1373779,1836
1373811,1812
1373842,1923
1373874,1836
1373906,1836
1373938,1828
1373969,1823
1374000,1818
1374031,1817
1374062,1826
1374093,1836
1374125,1840
1374157,1836
1374189,1838
1374221,1834
1374253,1834
1374285,1837
1374317,1833
1374348,1838
1374380,1838
1374412,1840
1374444,1839
1374476,1835
1374508,1835
1374540,1840
1374572,1838
1374604,1809
1374635,1865
1374667,1832
1374698,1826
1374729,1826
1374760,1821
1374791,1817
1374822,1817
1374853,1819
1374884,1836
1374916,1840
1374948,1841
1374980,1839
1375012,1840
1375044,1840
1375076,1839
1375108,1840
1375140,1840
1375172,1843
1375204,1844
1375236,1843
1375268,1842
1375300,1840
1375332,1840
1375364,1822
1375395,1927
1375427,1847
1375459,1841
1375491,1839
1375523,1825
1375554,1819
1375585,1820
1375616,1821
1375647,1830
1375678,1840
1375710,1840
1375742,1838
1375774,1839
1375806,1839
1375838,1844
1375870,1844
1375902,1843
1375934,1838
1375966,1840
1375998,1839
1376030,1839
1376062,1839
1376094,1840
1376126,1835
1376158,1814
1376189,1893
1376221,1835
1376253,1835
1376285,1832
1376316,1824
1376347,1817
1376378,1818
1376409,1835
1376441,1847
1376473,1849
1376505,1848
1376537,1848
1376569,1849
1376601,1849
1376633,1847
1376665,1848
1376697,1847
1376729,1853
1376761,1846
1376793,1846
1376825,1842
1376857,1847
1376889,1846
1376921,1814
1376952,1998
1376984,1846
1377016,1837
1377048,1830
1377079,1824
1377110,1819
1377141,1817
1377172,1822
1377203,1840
1377235,1845
1377267,1844
1377299,1845
1377331,1845
1377363,1844
1377395,1844
1377427,1844
1377459,1843
1377491,1843
1377523,1842
1377555,1845
1377587,1845
1377619,1844
1377651,1837
1377683,1812
1377714,1926
1377746,1835
1377778,1828
1377809,1826
1377840,1819
1377871,1818
1377902,1817
1377933,1821
1377964,1831
1377995,1840
1378027,1844
1378059,1844
1378091,1842
1378123,1842
1378155,1845
1378187,1847
1378219,1847
1378251,1846
1378283,1841
1378315,1845
1378347,1846
1378379,1826
1378410,1933
1378442,1857
1378474,1840
1378506,1831
1378537,1826
1378568,1822
1378599,1817
1378630,1817
1378661,1835
1378693,1844
1378725,1847
1378757,1842
1378789,1845
1378821,1847
1378853,1846
1378885,1851
1378917,1847
1378949,1849
1378981,1852
1379013,1865
1379045,1859
1379077,1850
1379109,1818
1379140,2067
1379172,1854
1379204,1842
1379236,1835
1379268,1827
1379299,1819
1379330,1818
1379361,1830
1379392,1842
1379424,1847
1379456,1846
1379488,1843
1379520,1844
1379552,1845
