2026/7/2 1:13:50 -> COM16 连接意外断开，正在尝试自动重连...
2026/7/2 1:13:52 -> 正在尝试重新连接 [第 1 次]  连接成功
« 4634,0
4658,2296
4687,2255
4716,2400
4745,2285
4774,2393
4803,2297
4832,2443
4861,2296
4890,2329
4919,2257
4948,2301
4977,2441
5006,2303
5035,2442
5064,2295
5093,2446
5122,2298
5151,2348
5180,2250
5209,2257
5238,2392
5267,2300
5296,2442
5325,2252
5354,2394
5383,2300
5412,2443
5441,2296
5470,2352
5499,2297
5528,2286
5557,2395
5586,2314
5615,2441
5644,2299
5673,2442
5702,2296
5731,2397
5760,2298
5789,2255
5818,2352
5847,2281
5876,2441
5905,2299
5934,2445
5963,2296
5992,2415
6021,2284
6050,2256
6079,2255
6108,2306
6137,2443
6166,2299
6195,2443
6224,2299
6253,2395
6282,2299
6311,2399
6340,2296
6369,2301
6398,2396
6427,2300
6456,2398
6485,2259
6514,2395
6543,2296
6572,2444
6601,2299
6630,2302
6659,2250
6688,2306
6717,2399
6746,2258
6775,2356
6804,2301
6833,2440
6862,2298
6891,2395
6920,2294
6949,2259
6978,2397
7007,2300
7036,2440
7065,2302
7094,2441
7123,2290
7152,2397
7181,2257
7210,2302
7239,2343
7268,2304
7297,2441
7326,2254
7355,2395
7384,2270
7413,2428
7442,2274
7471,2354
7500,2250
7529,2255
7558,2395
7587,2260
7616,2433
7645,2297
7674,2446
7703,2299
7732,2441
7761,2250
7790,2257
7819,2261
7848,2303
7877,2440
7906,2300
7935,2441
7964,2297
7993,2446
8022,2255
8051,2349
8080,2300
8109,2305
8138,2446
8167,2302
8196,2441
8225,2253
8254,2399
8283,2288
8312,2441
8341,2294
8370,2303
8399,2304
8428,2271
8457,2441
8486,2301
8515,2446
8544,2299
8573,2441
8602,2279
8631,2268
8660,2300
8689,2302
8718,2444
8747,2302
8776,2400
8805,2253
8834,2394
8863,2298
8892,2400
8921,2301
8950,2304
8979,2319
9008,2260
9037,2446
9066,2300
9095,2441
9124,2296
9153,2446
9182,2297
9211,2258
9240,2344
9269,2301
9298,2445
9327,2300
9356,2441
9385,2304
9414,2397
9443,2300
9472,2350
9501,2298
9530,2300
9559,2394
9588,2256
9617,2409
9646,2298
9675,2440
9704,2300
9733,2441
9762,2297
9791,2258
9820,2253
9849,2301
9878,2441
9907,2303
9936,2442
9965,2296
9994,2396
10023,2278
10053,2321
10083,2297
10113,2352
10143,2297
10173,2347
10203,2298
10233,2395
10263,2297
10293,2351
10323,2302
10353,2348
10383,2296
10413,2352
10443,2296
10473,2308
10503,2300
10533,2351
10563,2296
10593,2352
10623,2296
10653,2347
10683,2254
10713,2351
10743,2297
10773,2350
10803,2300
10833,2348
10863,2297
10893,2349
10923,2303
10953,2341
10983,2299
11013,2348
11043,2301
11073,2348
11103,2295
11133,2399
11163,2275
11193,2325
11223,2299
11253,2348
11283,2295
11313,2352
11343,2296
11373,2361
11403,2284
11433,2351
11463,2296
11493,2353
11523,2299
11553,2348
11583,2296
11613,2352
11643,2301
11673,2308
11703,2300
11733,2348
11763,2295
11793,2257
11823,2303
11853,2304
11883,2299
11913,2349
11943,2297
11973,2353
12003,2296
12033,2349
12063,2271
12093,2351
12123,2296
12153,2354
12183,2298
12213,2347
12243,2295
12273,2303
12303,2297
12333,2353
12363,2298
12393,2348
12423,2298
12453,2348
12483,2256
12513,2311
12543,2251
12573,2300
12603,2302
12633,2349
12663,2296
12693,2351
12723,2299
12753,2302
12783,2252
12813,2300
12843,2296
12873,2352
12903,2296
12933,2349
12963,2303
12993,2262
13023,2296
13053,2354
13083,2297
13113,2347
13143,2296
13173,2397
13203,2258
13233,2297
13263,2302
13293,2349
13323,2295
13353,2353
13383,2269
13413,2285
13443,2296
13473,2306
13503,2300
13533,2348
13563,2295
13593,2305
13623,2250
13653,2290
13683,2295
13713,2307
13743,2296
13773,2302
13803,2249
13833,2294
13863,2298
13893,2302
13923,2296
13953,2353
13983,2298
14013,2264
14043,2282
14073,2308
14103,2297
14133,2303
14163,2297
14193,2306
14223,2252
14253,2262
14283,2268
14313,2302
14343,2296
14373,2305
14403,2296
14433,2301
14463,2259
14493,230484239,2659
484270,2749
484301,2730
484332,2632
484363,2739
484394,2622
484425,2729
484456,2587
484487,2729
484518,2586
484549,2706
484580,2635
484611,2729
484642,2697
484673,2560
484704,2717
484735,2586
484766,2709
484797,2547
484828,2702
484859,2588
484890,2723
484921,2565
484952,2636
484983,2698
485014,2584
485045,2689
485076,2539
485107,2683
485138,2573
485169,2699
485200,2543
485231,2681
485262,2602
485293,2708
485324,2683
485355,2577
485386,2682
485417,2570
485448,2681
485479,2542
485510,2682
485541,2543
485572,2673
485603,2589
485634,2634
485665,2682
485696,2525
485727,2660
485758,2542
485789,2683
485820,2542
485851,2644
485882,2529
485913,2676
485944,2626
485975,2548
486006,2641
486037,2532
486068,2683
486099,2519
486130,2639
486161,2515
486192,2669
486223,2541
486254,2645
486285,2599
486316,2550
486347,2665
486378,2540
486409,2637
486440,2521
486471,2651
486502,2541
486533,2683
486564,2549
486595,2609
486626,2645
486657,2492
486688,2637
486719,2494
486750,2643
486781,2519
486812,2639
486843,2496
486874,2636
486905,2553
486936,2598
486967,2635
486998,2492
487029,2646
487060,2516
487091,2630
487122,2496
487153,2636
487184,2504
487215,2627
487246,2558
487277,2540
487308,2639
487339,2509
487370,2619
487401,2496
487432,2636
487463,2507
487494,2645
487525,2525
487556,2648
487587,2527
487618,2513
487649,2609
487680,2489
487711,2636
487742,2485
487773,2605
487804,2482
487835,2627
487866,2497
487897,2624
487928,2524
487959,2506
487990,2633
488021,2495
488052,2593
488083,2472
488114,2621
488145,2496
488176,2637
488207,2493
488238,2581
488269,2567
488300,2492
488331,2591
488362,2455
488393,2608
488424,2478
488455,2611
488486,2456
488517,2592
488548,2477
488579,2575
488610,2571
488641,2461
488672,2613
488703,2489
488734,2613
488765,2455
488796,2604
488827,2483
488858,2630
488889,2492
488920,2513
488951,2613
488982,2491
489013,2613
489044,2464
489075,2596
489106,2474
489137,2636
489168,2293
489199,1798
489229,1798
489259,1800
489289,1798
489319,1798
489349,1798
489379,1798
489409,1798
489439,1798
489469,1798
489499,1800
489529,1800
489559,1798
489589,1800
489619,1798
489649,1798
489679,1800
489709,1801
489739,1798
489769,1798
489799,1801
489829,1801
489859,1798
489889,1798
489919,1801
